title,image,link,info,score
遇见未知的自己,https://img3.doubanio.com/view/subject/m/public/s3403254.jpg,https://book.douban.com/subject/2340100/,张德芬 / 华夏出版社 / 2008-1 / 29.00,8.0
社会性动物,https://img3.doubanio.com/view/subject/m/public/s2783843.jpg,https://book.douban.com/subject/2328458/,Elliot Aronson / 邢占军 / 华东师范大学出版社 / 2007-12 / 45.00元,9.1
亲密关系（第6版）,https://img3.doubanio.com/view/subject/m/public/s29497110.jpg,https://book.douban.com/subject/26585065/,[美] 罗兰·米勒 (Rowland S. Miller) / 王伟平 译、彭凯平 校 / 人民邮电出版社 / 2015-6 / 138.00元,9.5
奥古斯都,https://img1.doubanio.com/view/subject/m/public/s29753387.jpg,https://book.douban.com/subject/27180479/,[美] 约翰·威廉斯 / 郑远涛 / 世纪文景|上海人民出版社 / 2018-5 / 56.00元,9.2
白鹿原,https://img1.doubanio.com/view/subject/m/public/s9137567.jpg,https://book.douban.com/subject/1085799/,陈忠实 / 人民文学出版社 / 1997-12 / 28.00元,8.7
枪炮、病菌与钢铁,https://img3.doubanio.com/view/subject/m/public/s1738643.jpg,https://book.douban.com/subject/1813841/,[美] 贾雷德·戴蒙德 / 谢延光 / 上海世纪出版集团 / 2006-4-1 / 45.00元,8.8
半小时漫画世界史,https://img1.doubanio.com/view/subject/m/public/s29736949.jpg,https://book.douban.com/subject/30191803/,陈磊（笔名：二混子） / 江苏凤凰文艺出版社 / 2018-4-4 / 39.90元,7.5
未来简史,https://img3.doubanio.com/view/subject/m/public/s29287103.jpg,https://book.douban.com/subject/26943161/,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版集团 / 2017-2 / 68.00元,8.4
今日简史,https://img3.doubanio.com/view/subject/m/public/s29827660.jpg,https://book.douban.com/subject/30259720/,[以] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版集团 / 2018-8 / 68,8.2
20世纪简史,https://img3.doubanio.com/view/subject/m/public/s29821660.jpg,https://book.douban.com/subject/30262204/,[澳]杰弗里·布莱内 / 张心童 / 理想国|上海三联书店 / 2018-7 / 54.00元,8.0
菊与刀,https://img3.doubanio.com/view/subject/m/public/s1074166.jpg,https://book.douban.com/subject/1022238/,（美）鲁思・本尼迪克特 / 吕万和、熊达云、王智新 / 商务印书馆 / 1990-6 / 16.00,8.2
娜塔莎之舞,https://img1.doubanio.com/view/subject/m/public/s29682547.jpg,https://book.douban.com/subject/27619602/,[英] 奥兰多·费吉斯 / 曾小楚、郭丹杰 / 四川人民出版社 / 2018-3 / 139,9.3
三国演义（全二册）,https://img3.doubanio.com/view/subject/m/public/s1076932.jpg,https://book.douban.com/subject/1019568/,[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元,9.2
白鹿原,https://img1.doubanio.com/view/subject/m/public/s9137567.jpg,https://book.douban.com/subject/1085799/,陈忠实 / 人民文学出版社 / 1997-12 / 28.00元,8.7
围城,https://img3.doubanio.com/view/subject/m/public/s1070222.jpg,https://book.douban.com/subject/1008145/,钱锺书 / 人民文学出版社 / 1991-2 / 19.00,8.9
许三观卖血记,https://img3.doubanio.com/view/subject/m/public/s1074291.jpg,https://book.douban.com/subject/1029791/,余华 / 南海出版公司 / 1998-9 / 16.80元,8.7
天才在左 疯子在右,https://img1.doubanio.com/view/subject/m/public/s6340977.jpg,https://book.douban.com/subject/4242172/,高铭 / 武汉大学出版社 / 2010-2 / 29.80元,8.1
回答不了,https://img3.doubanio.com/view/subject/m/public/s29890136.jpg,https://book.douban.com/subject/30336863/,匡扶 / 浙江文艺出版社 / 2018-10 / 59.00元,8.5
骆驼祥子,https://img3.doubanio.com/view/subject/m/public/s1146040.jpg,https://book.douban.com/subject/1043815/,老舍 / 人民文学出版社 / 2000-3-1 / 12.00,8.3
